id,name,category,city,rating,avg_cost_inr,best_months,activities,description,lat,lon,user_score
127,River Spot 127,river,Haridwar,4.6,150,"4,9",swimming;kayaking,"River Spot 127 in Haridwar: a river destination great for swimming and kayaking. Best months: Apr, Sep.",28.808,78.648,5.0
128,Mountain Spot 128,mountain,Haridwar,3.9,149,"6,9",photography;hiking,"Mountain Spot 128 in Haridwar: a mountain destination great for photography and hiking. Best months: Jun, Sep.",30.68,80.691,5.0
129,River Spot 129,river,Jim Corbett,3.5,196,"3,4,6,9",rafting;fishing,"River Spot 129 in Jim Corbett: a river destination great for rafting and fishing. Best months: Mar, Apr, Jun, Sep.",31.046,79.873,5.0
130,City Spot 130,city,Dehradun,3.3,62,"1,3,4,5,6,7,8,10,12",heritage walk;museums,"City Spot 130 in Dehradun: a city destination great for heritage walk and museums. Best months: Jan, Mar, Apr, May, Jun, Jul, Aug, Oct, Dec.",30.222,79.353,5.0
131,City Spot 131,city,Auli,4.3,64,"3,5,7,8,9,12",museums;food-tour,"City Spot 131 in Auli: a city destination great for museums and food-tour. Best months: Mar, May, Jul, Aug, Sep, Dec.",30.825,79.964,5.0
132,Forest Spot 132,forest,Bageshwar,3.6,184,"3,4,10",trekking;hiking,"Forest Spot 132 in Bageshwar: a forest destination great for trekking and hiking. Best months: Mar, Apr, Oct.",31.196,79.058,5.0
133,Beach Spot 133,beach,Lansdowne,4.4,172,"5,6",sunbathing;picnic,"Beach Spot 133 in Lansdowne: a beach destination great for sunbathing and picnic. Best months: May, Jun.",30.127,80.62,5.0
134,Forest Spot 134,forest,Valley of Flowers,4.4,146,"4,5",hiking;trekking,"Forest Spot 134 in Valley of Flowers: a forest destination great for hiking and trekking. Best months: Apr, May.",30.876,78.329,5.0
135,City Spot 135,city,Dehradun,3.7,123,"2,3,4,6,9,10,11,12",heritage walk;food-tour,"City Spot 135 in Dehradun: a city destination great for heritage walk and food-tour. Best months: Feb, Mar, Apr, Jun, Sep, Oct, Nov, Dec.",30.97,77.758,5.0
136,Mountain Spot 136,mountain,Chopta,3.1,103,"4,5,10",photography;scenic drives,"Mountain Spot 136 in Chopta: a mountain destination great for photography and scenic drives. Best months: Apr, May, Oct.",31.232,77.694,5.0
137,Beach Spot 137,beach,Kausani,3.3,49,"4,6",picnic;sunbathing,"Beach Spot 137 in Kausani: a beach destination great for picnic and sunbathing. Best months: Apr, Jun.",29.252,79.723,5.0
138,River Spot 138,river,Haridwar,3.3,74,"4,5,9",kayaking;rafting,"River Spot 138 in Haridwar: a river destination great for kayaking and rafting. Best months: Apr, May, Sep.",30.476,80.022,5.0
139,River Spot 139,river,Auli,4.7,121,"3,4,6,9",kayaking;swimming,"River Spot 139 in Auli: a river destination great for kayaking and swimming. Best months: Mar, Apr, Jun, Sep.",29.75,79.736,5.0
140,City Spot 140,city,Chopta,4.1,135,"1,4,5,6,7,8,11",museums;heritage walk,"City Spot 140 in Chopta: a city destination great for museums and heritage walk. Best months: Jan, Apr, May, Jun, Jul, Aug, Nov.",29.819,79.195,5.0
141,Forest Spot 141,forest,Auli,4.2,76,"3,4,5,9",hiking;wildlife,"Forest Spot 141 in Auli: a forest destination great for hiking and wildlife. Best months: Mar, Apr, May, Sep.",29.225,77.929,5.0
142,City Spot 142,city,Rishikesh,3.3,29,"1,2,3,4,5,6,7,8,9,10,12",heritage walk;food-tour,"City Spot 142 in Rishikesh: a city destination great for heritage walk and food-tour. Best months: Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Dec.",31.137,79.241,5.0
143,Beach Spot 143,beach,Jim Corbett,4.0,194,"3,5",sunbathing;river-side relax,"Beach Spot 143 in Jim Corbett: a beach destination great for sunbathing and river-side relax. Best months: Mar, May.",29.985,80.588,5.0
144,City Spot 144,city,Haridwar,4.1,172,"1,4,5,6,7,8,11,12",food-tour;heritage walk,"City Spot 144 in Haridwar: a city destination great for food-tour and heritage walk. Best months: Jan, Apr, May, Jun, Jul, Aug, Nov, Dec.",30.16,77.757,5.0
145,River Spot 145,river,Almora,4.5,70,"3,5,6,9",fishing;kayaking,"River Spot 145 in Almora: a river destination great for fishing and kayaking. Best months: Mar, May, Jun, Sep.",30.885,78.687,5.0
146,Mountain Spot 146,mountain,Lansdowne,3.3,128,"4,9,10",mountain-climbing;scenic drives,"Mountain Spot 146 in Lansdowne: a mountain destination great for mountain-climbing and scenic drives. Best months: Apr, Sep, Oct.",29.499,79.158,5.0
147,City Spot 147,city,Nainital,4.2,112,"3,5,6,7,8,10,12",heritage walk;shopping,"City Spot 147 in Nainital: a city destination great for heritage walk and shopping. Best months: Mar, May, Jun, Jul, Aug, Oct, Dec.",30.189,79.162,5.0
148,Beach Spot 148,beach,Auli,3.7,39,"5,6",sunbathing;picnic,"Beach Spot 148 in Auli: a beach destination great for sunbathing and picnic. Best months: May, Jun.",29.924,80.885,5.0
149,River Spot 149,river,Bageshwar,3.5,29,"3,6,9",kayaking;rafting,"River Spot 149 in Bageshwar: a river destination great for kayaking and rafting. Best months: Mar, Jun, Sep.",30.218,79.952,5.0
150,Forest Spot 150,forest,Dehradun,3.9,95,"4,5,9",trekking;birdwatching,"Forest Spot 150 in Dehradun: a forest destination great for trekking and birdwatching. Best months: Apr, May, Sep.",30.682,79.97,5.0
